CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag
Almacen 116,5.0,6.0,500.0,4.0,H,H
Almacen 117,2.0,3.0,500.0,2.0,H,H
Almacen 118,3.0,4.0,500.0,3.0,H,H
Almacen 119,17.0,19.0,500.0,7.0,H,H
Almacen 120,2.0,3.0,500.0,2.0,H,H
Almacen 121,4.0,5.0,500.0,2.0,H,H
Almacen 122,1.0,2.0,500.0,1.0,H,H
Almacen 123,2.0,3.0,500.0,2.0,H,H
Almacen 124,1.0,2.0,500.0,1.0,H,H
Almacen 125,2.0,3.0,500.0,1.0,H,H
Almacen 126,2.0,3.0,500.0,1.0,H,H
Almacen 127,1.0,2.0,500.0,1.0,H,H
Almacen 128,5.0,6.0,500.0,3.0,H,H
Almacen 129,3.0,4.0,500.0,1.0,H,H
Almacen 130,1.0,2.0,500.0,1.0,H,H
Almacen 131,10.0,11.0,500.0,5.0,H,H
Almacen 132,22.0,25.0,500.0,14.0,H,H
Almacen 133,1.0,2.0,500.0,1.0,H,H
Almacen 134,1.0,2.0,500.0,1.0,H,H
Almacen 135,3.0,4.0,500.0,3.0,H,H
Almacen 136,1.0,2.0,500.0,1.0,H,H
Almacen 137,1.0,2.0,500.0,1.0,H,H
Almacen 138,1.0,2.0,500.0,1.0,H,H
Almacen 139,1.0,2.0,500.0,1.0,H,H
Almacen 140,1.0,2.0,500.0,1.0,H,H
Almacen 141,2.0,3.0,500.0,1.0,H,H
Almacen 142,2.0,3.0,500.0,2.0,H,H
Almacen 143,1.0,2.0,500.0,1.0,H,H
Almacen 144,1.0,2.0,500.0,1.0,H,H
Almacen 145,1.0,2.0,500.0,1.0,H,H
Almacen 146,1.0,2.0,500.0,1.0,H,H
Almacen 147,10.0,11.0,500.0,6.0,H,H
Almacen 148,1.0,2.0,500.0,1.0,H,H
Almacen 149,6.0,7.0,500.0,2.0,H,H
Almacen 150,1.0,2.0,500.0,1.0,H,H
Almacen 151,4.0,5.0,500.0,2.0,H,H
Almacen 152,8.0,9.0,500.0,3.0,H,H
Almacen 153,1.0,2.0,500.0,1.0,H,H
Almacen 154,7.0,8.0,500.0,6.0,H,H
Almacen 155,4.0,5.0,500.0,3.0,H,H
Almacen 156,1.0,2.0,500.0,1.0,H,H
Almacen 157,15.0,17.0,500.0,7.0,H,H
Almacen 158,2.0,3.0,500.0,2.0,H,H
Almacen 159,2.0,3.0,500.0,1.0,H,H
Almacen 160,1.0,2.0,500.0,1.0,H,H
Almacen 161,2.0,3.0,500.0,1.0,H,H
Almacen 162,1.0,2.0,500.0,1.0,H,H
Almacen 163,16.0,18.0,500.0,7.0,H,H
Almacen 164,1.0,2.0,500.0,1.0,H,H
Almacen 165,2.0,3.0,500.0,2.0,H,H
Almacen 166,2.0,3.0,500.0,2.0,H,H
Almacen 167,1.0,2.0,500.0,1.0,H,H
Almacen 168,1.0,2.0,500.0,1.0,H,H
Almacen 169,2.0,3.0,500.0,1.0,H,H
Almacen 170,1.0,2.0,500.0,1.0,H,H
Almacen 171,27.0,30.0,500.0,8.0,H,H
Almacen 172,3.0,4.0,500.0,3.0,H,H
Almacen 173,2.0,3.0,500.0,2.0,H,H
Almacen 174,1.0,2.0,500.0,1.0,H,H
Almacen 175,1.0,2.0,500.0,1.0,H,H
Almacen 176,2.0,3.0,500.0,2.0,H,H
Almacen 177,2.0,3.0,500.0,2.0,H,H
Almacen 178,5.0,6.0,500.0,3.0,H,H
Almacen 179,5.0,6.0,500.0,3.0,H,H
Almacen 180,1.0,2.0,500.0,1.0,H,H
Almacen 181,2.0,3.0,500.0,2.0,H,H
Almacen 182,14.0,16.0,500.0,5.0,H,H
Almacen 183,2.0,3.0,500.0,2.0,H,H
Almacen 184,20.0,22.0,500.0,6.0,H,H
Almacen 185,1.0,2.0,500.0,1.0,H,H
Almacen 186,1.0,2.0,500.0,1.0,H,H
Almacen 187,4.0,5.0,500.0,3.0,H,H
Almacen 188,11.0,13.0,500.0,5.0,H,H
Almacen 189,1.0,2.0,500.0,1.0,H,H
Almacen 190,1.0,2.0,500.0,1.0,H,H
Almacen 191,1.0,2.0,500.0,1.0,H,H
Almacen 192,45.0,50.0,500.0,8.0,H,H
Almacen 193,1.0,2.0,500.0,1.0,H,H
Almacen 194,1.0,2.0,500.0,1.0,H,H
Almacen 195,1.0,2.0,500.0,1.0,H,H
Almacen 196,1.0,2.0,500.0,1.0,H,H
Almacen 197,1.0,2.0,500.0,1.0,H,H
Almacen 198,39.0,43.0,500.0,8.0,H,H
