CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag
Almacen 502,183.0,202.0,500.0,120.0,H,H
Almacen 503,0.0,0.0,500.0,500.0,M,M
Almacen 504,753.0,2222.0,72.0,168.0,V,V
Almacen 505,449.0,2222.0,49.0,135.0,V,V
Almacen 506,2.0,3.0,500.0,1.0,H,H
Almacen 507,-36.0,366.0,38.0,33.0,H,V
Almacen 508,2.0,3.0,500.0,2.0,H,H
Almacen 509,0.0,0.0,500.0,500.0,M,M
Almacen 510,2.0,2000.0,500.0,500.0,V,V
Almacen 511,0.0,0.0,500.0,500.0,M,M
Almacen 512,0.0,0.0,500.0,500.0,M,M
Almacen 513,1.0,2.0,500.0,1.0,H,H
Almacen 514,0.0,0.0,500.0,500.0,M,M
Almacen 515,0.0,0.0,500.0,500.0,M,M
Almacen 516,0.0,0.0,500.0,500.0,M,M
Almacen 517,0.0,0.0,500.0,500.0,M,M
Almacen 518,0.0,387.0,217.0,500.0,H,M
Almacen 519,329.0,3144.0,156.0,297.0,H,V
Almacen 520,0.0,10.0,8.0,500.0,H,M
Almacen 521,0.0,4.0,2.0,500.0,H,M
Almacen 522,215.0,237.0,500.0,53.0,H,H
Almacen 523,0.0,0.0,500.0,500.0,M,M
Almacen 524,101.0,2222.0,8.0,500.0,V,V
Almacen 525,0.0,0.0,500.0,500.0,M,M
Almacen 526,0.0,0.0,500.0,500.0,M,M
Almacen 527,0.0,115.0,96.0,500.0,H,M
Almacen 528,7.0,8.0,500.0,2.0,H,H
Almacen 529,252.0,278.0,500.0,108.0,H,H
Almacen 530,0.0,0.0,500.0,500.0,M,M
Almacen 531,0.0,0.0,500.0,500.0,M,M
Almacen 532,0.0,0.0,500.0,500.0,M,M
Almacen 533,0.0,0.0,500.0,500.0,M,M
Almacen 534,1.0,5000.0,48.0,500.0,V,V
Almacen 535,263.0,290.0,500.0,51.0,H,H
Almacen 536,0.0,0.0,500.0,500.0,M,M
Almacen 537,1.0,2.0,500.0,1.0,H,H
Almacen 538,0.0,0.0,500.0,500.0,M,M
Almacen 539,1.0,2222.0,29.0,16.0,V,V
Almacen 540,0.0,0.0,500.0,500.0,M,M
Almacen 541,540.0,594.0,500.0,88.0,H,H
Almacen 542,0.0,0.0,500.0,500.0,M,M
Almacen 543,148.0,163.0,500.0,84.0,H,H
Almacen 544,0.0,0.0,500.0,500.0,M,M
Almacen 545,0.0,0.0,500.0,500.0,M,M
Almacen 546,402.0,443.0,500.0,100.0,H,H
Almacen 547,0.0,0.0,500.0,500.0,M,M
Almacen 548,0.0,0.0,500.0,500.0,M,M
Almacen 549,2060.0,2266.0,500.0,66.0,H,H
Almacen 550,0.0,450.0,55.0,500.0,H,M
Almacen 551,0.0,30436.0,3102.0,500.0,H,M
Almacen 552,3.0,4.0,500.0,2.0,H,H
Almacen 553,0.0,3957.0,1812.0,500.0,H,M
Almacen 554,281.0,310.0,500.0,66.0,H,H
Almacen 555,209.0,420.0,1.0,337.0,V,V
Almacen 556,0.0,3000.0,500.0,500.0,V,M
Almacen 557,0.0,2.0,1.0,500.0,H,M
Almacen 558,305.0,336.0,500.0,64.0,H,H
Almacen 559,0.0,0.0,500.0,500.0,M,M
Almacen 560,3.0,4.0,500.0,1.0,H,H
Almacen 561,135.0,149.0,500.0,24.0,H,H
Almacen 562,0.0,0.0,500.0,500.0,M,M
Almacen 563,0.0,0.0,500.0,500.0,M,M
Almacen 564,0.0,21806.0,2654.0,500.0,H,M
Almacen 565,0.0,189.0,143.0,500.0,H,M
Almacen 566,6.0,8.0,1.0,1.0,H,H
Almacen 567,0.0,0.0,500.0,500.0,M,M
Almacen 568,0.0,3000.0,500.0,500.0,V,M
Almacen 569,1.0,2.0,500.0,1.0,H,H
Almacen 570,0.0,0.0,500.0,500.0,M,M
Almacen 571,11864.0,13051.0,500.0,207.0,H,H
Almacen 572,0.0,0.0,500.0,500.0,M,M
Almacen 573,2895.0,3185.0,500.0,96.0,H,H
Almacen 574,4732.0,5206.0,500.0,130.0,H,H
Almacen 575,0.0,2000.0,500.0,500.0,V,M
Almacen 576,0.0,0.0,500.0,500.0,M,M
Almacen 577,430.0,644.0,66.0,48.0,H,H
Almacen 578,44.0,49.0,500.0,31.0,H,H
Almacen 579,0.0,230.0,209.0,500.0,H,M
Almacen 580,458.0,2000.0,86.0,500.0,V,V
Almacen 581,0.0,4255.0,3861.0,500.0,H,M
Almacen 582,1.0,2.0,500.0,1.0,H,H
Almacen 583,284.0,3500.0,9.0,14.0,V,V
Almacen 584,0.0,140.0,87.0,500.0,H,M
Almacen 585,0.0,0.0,500.0,500.0,M,M
Almacen 586,9.0,10.0,500.0,6.0,H,H
Almacen 587,33.0,37.0,500.0,14.0,H,H
Almacen 588,649.0,714.0,500.0,18.0,H,H
Almacen 589,1411.0,2500.0,500.0,96.0,V,H
Almacen 590,0.0,2500.0,500.0,500.0,V,M
Almacen 591,53.0,197.0,500.0,7.0,H,V
Almacen 592,953.0,1049.0,500.0,26.0,H,H
Almacen 593,32262.0,35489.0,500.0,304.0,H,H
Almacen 594,0.0,2000.0,500.0,500.0,V,M
Almacen 595,46515.0,51167.0,11.0,505.0,H,H
Almacen 596,0.0,2000.0,500.0,500.0,V,M
Almacen 597,320.0,352.0,500.0,14.0,H,H
Almacen 598,10847.0,11932.0,500.0,139.0,H,H
Almacen 599,0.0,0.0,500.0,500.0,M,M
Almacen 600,692.0,762.0,500.0,29.0,H,H
Almacen 601,38.0,42.0,500.0,9.0,H,H
Almacen 602,2231.0,2455.0,500.0,67.0,H,H
Almacen 603,0.0,0.0,500.0,500.0,M,M
Almacen 604,2448.0,2693.0,500.0,80.0,H,H
Almacen 605,54.0,60.0,500.0,31.0,H,H
Almacen 606,2.0,0.0,500.0,500.0,M,V
Almacen 607,1.0,2.0,1.0,500.0,H,V
Almacen 608,84.0,93.0,500.0,41.0,H,H
Almacen 609,1380.0,1519.0,500.0,239.0,H,H
Almacen 610,215.0,237.0,3.0,26.0,H,H
Almacen 611,0.0,42.0,38.0,500.0,H,M
Almacen 612,7.0,8.0,500.0,5.0,H,H
Almacen 613,1.0,0.0,500.0,500.0,M,V
Almacen 614,337.0,371.0,500.0,48.0,H,H
Almacen 615,1.0,2.0,500.0,1.0,H,H
Almacen 616,152.0,168.0,500.0,81.0,H,H
Almacen 617,10.0,11.0,500.0,4.0,H,H
Almacen 618,2522.0,2775.0,500.0,284.0,H,H
Almacen 619,663.0,500.0,500.0,249.0,V,V
Almacen 620,0.0,0.0,500.0,500.0,M,M
Almacen 621,0.0,0.0,500.0,500.0,M,M
Almacen 622,17998.0,25326.0,12755.0,2372.0,H,H
Almacen 623,9.0,2222.0,678.0,500.0,V,V
Almacen 624,97.0,2489.0,3.0,97.0,H,V
Almacen 625,1637.0,1971.0,1.0,176.0,H,H
Almacen 626,-62.0,3000.0,90.0,45.0,V,V
Almacen 627,3130.0,3000.0,3102.0,1010.0,V,V
Almacen 628,2752.0,3200.0,1.0,622.0,V,V
Almacen 629,0.0,0.0,500.0,500.0,M,M
Almacen 630,0.0,3000.0,500.0,500.0,V,M
Almacen 631,61.0,68.0,500.0,19.0,H,H
Almacen 632,0.0,0.0,500.0,500.0,M,M
Almacen 633,4128.0,6602.0,124.0,128.0,H,H
Almacen 634,0.0,0.0,500.0,500.0,M,M
Almacen 635,0.0,0.0,500.0,500.0,M,M
Almacen 636,1761.0,4014.0,500.0,390.0,V,V
Almacen 637,2.0,3.0,500.0,2.0,H,H
Almacen 638,32.0,36.0,500.0,16.0,H,H
Almacen 639,235.0,2222.0,55.0,38.0,V,V
Almacen 640,0.0,3000.0,500.0,500.0,V,M
Almacen 641,9991.0,11619.0,3732.0,1952.0,V,H
Almacen 642,37753.0,44650.0,10252.0,6665.0,V,V
Almacen 643,7302.0,10300.0,3707.0,4186.0,V,V
Almacen 644,2201.0,3000.0,615.0,656.0,V,V
Almacen 645,0.0,3000.0,500.0,500.0,V,M
Almacen 646,85.0,2222.0,18.0,47.0,V,V
Almacen 647,4672.0,4500.0,7.0,880.0,V,V
Almacen 648,1086.0,1195.0,500.0,93.0,H,H
Almacen 649,3115.0,3157.0,438.0,458.0,V,V
Almacen 650,1.0,2222.0,500.0,500.0,V,V
Almacen 651,1030.0,2222.0,177.0,125.0,V,V
Almacen 652,1243.0,4754.0,500.0,304.0,H,H
Almacen 653,2313.0,4400.0,840.0,958.0,V,H
Almacen 654,701.0,890.0,57.0,110.0,V,V
Almacen 655,1852.0,1500.0,284.0,342.0,V,V
Almacen 656,0.0,369.0,8.0,28.0,H,M
Almacen 657,0.0,0.0,500.0,500.0,M,M
Almacen 658,1338.0,1472.0,500.0,68.0,H,H
Almacen 659,860.0,3683.0,1364.0,208.0,V,V
Almacen 660,718.0,2222.0,170.0,160.0,V,V
Almacen 661,26.0,2222.0,5.0,6.0,V,V
Almacen 662,41.0,2222.0,42.0,42.0,V,V
Almacen 663,2409.0,3000.0,500.0,568.0,V,V
Almacen 664,1180.0,2236.0,807.0,341.0,H,H
Almacen 665,1.0,0.0,500.0,500.0,M,V
Almacen 666,118.0,2222.0,168.0,27.0,V,V
Almacen 667,1.0,2222.0,9.0,6.0,V,V
Almacen 668,3379.0,2222.0,224.0,248.0,V,V
Almacen 669,6102.0,6649.0,500.0,378.0,H,H
Almacen 670,3.0,4.0,500.0,3.0,H,H
Almacen 671,45292.0,77812.0,4074.0,920.0,H,H
Almacen 672,1.0,0.0,500.0,500.0,M,V
Almacen 673,8.0,0.0,500.0,500.0,M,V
Almacen 674,1.0,0.0,500.0,500.0,M,V
Almacen 675,1.0,2222.0,500.0,500.0,V,V
Almacen 676,9225.0,2222.0,519.0,518.0,V,V
Almacen 677,638.0,2222.0,68.0,98.0,V,V
Almacen 678,1.0,2.0,500.0,1.0,H,H
Almacen 679,368.0,405.0,500.0,186.0,H,H
Almacen 680,4181.0,5884.0,8.0,606.0,H,H
Almacen 681,550.0,700.0,81.0,36.0,H,H
Almacen 682,216.0,3500.0,335.0,308.0,V,V
Almacen 683,899.0,3500.0,365.0,452.0,V,V
Almacen 684,0.0,1500.0,500.0,500.0,V,M
Almacen 685,1268.0,2000.0,89.0,123.0,V,H
Almacen 686,66.0,73.0,1.0,7.0,H,H
Almacen 687,1.0,2.0,500.0,1.0,H,H
Almacen 688,1.0,500.0,133.0,405.0,V,V
Almacen 689,258.0,2222.0,256.0,378.0,V,V
Almacen 690,40.0,1464.0,178.0,174.0,H,V
Almacen 691,1902.0,2556.0,36.0,430.0,H,V
Almacen 692,16888.0,41425.0,1634.0,408.0,H,V
Almacen 693,4974.0,5472.0,500.0,292.0,H,H
Almacen 694,2618.0,4122.0,292.0,564.0,V,V
Almacen 695,1270.0,1460.0,9.0,706.0,H,V
Almacen 696,467.0,650.0,285.0,34.0,V,V
Almacen 697,1092.0,3117.0,42.0,542.0,H,H
Almacen 698,1079.0,1185.0,500.0,37.0,H,H
Almacen 699,207.0,245.0,7.0,16.0,H,H
Almacen 700,2.0,3.0,500.0,1.0,H,H
Almacen 701,0.0,0.0,500.0,500.0,M,M
Almacen 702,12640.0,15000.0,1055.0,1037.0,V,H
Almacen 703,1.0,3.0,1.0,500.0,H,V
Almacen 704,10.0,0.0,500.0,500.0,M,V
Almacen 705,40.0,9.0,500.0,8.0,H,V
Almacen 706,11943.0,15436.0,716.0,470.0,H,H
Almacen 707,7.0,8.0,500.0,5.0,H,H
Almacen 708,1409.0,2222.0,901.0,582.0,V,V
Almacen 709,0.0,0.0,500.0,500.0,M,M
Almacen 710,1.0,0.0,500.0,500.0,M,V
Almacen 711,6801.0,17152.0,172.0,234.0,H,H
Almacen 712,-37.0,1487.0,88.0,135.0,H,V
Almacen 713,247.0,272.0,500.0,23.0,H,H
Almacen 714,1174.0,1292.0,500.0,125.0,H,H
Almacen 715,29.0,2222.0,8.0,14.0,V,V
Almacen 716,0.0,35.0,6.0,1.0,H,M
Almacen 717,1139.0,1253.0,1.0,41.0,H,H
Almacen 718,2.0,3.0,500.0,2.0,H,H
Almacen 719,0.0,0.0,500.0,500.0,M,M
Almacen 720,938.0,2322.0,2.0,174.0,H,H
Almacen 721,2781.0,5700.0,344.0,587.0,V,V
Almacen 722,1.0,2222.0,500.0,500.0,V,V
Almacen 723,1.0,0.0,500.0,500.0,M,V
Almacen 724,1054.0,2222.0,134.0,153.0,V,V
Almacen 725,0.0,0.0,500.0,500.0,M,M
Almacen 726,67.0,3341.0,381.0,110.0,H,H
Almacen 727,0.0,0.0,500.0,500.0,M,M
Almacen 728,3511.0,3208.0,500.0,574.0,H,V
Almacen 729,6.0,2222.0,6.0,12.0,V,V
Almacen 730,6814.0,16508.0,5070.0,2117.0,H,H
Almacen 731,103.0,2222.0,211.0,180.0,V,V
Almacen 732,6789.0,8184.0,247.0,557.0,H,H
Almacen 733,0.0,0.0,500.0,500.0,M,M
Almacen 734,1889.0,3433.0,3084.0,205.0,V,V
Almacen 735,241.0,2222.0,57.0,140.0,V,V
Almacen 736,5.0,500.0,112.0,218.0,V,V
Almacen 737,201.0,222.0,500.0,64.0,H,H
Almacen 738,101.0,112.0,500.0,27.0,H,H
Almacen 739,17826.0,49860.0,500.0,382.0,H,V
Almacen 740,18305.0,48209.0,500.0,412.0,H,V
Almacen 741,0.0,0.0,500.0,500.0,M,M
Almacen 742,183.0,173.0,500.0,42.0,H,V
Almacen 743,19.0,80.0,500.0,16.0,H,V
Almacen 744,1.0,2.0,500.0,1.0,H,H
Almacen 745,1.0,0.0,500.0,500.0,M,V
Almacen 746,1.0,0.0,500.0,500.0,M,V
Almacen 747,0.0,0.0,500.0,500.0,M,M
Almacen 748,174.0,403.0,500.0,26.0,H,V
Almacen 749,13.0,15.0,500.0,5.0,H,H
Almacen 750,0.0,0.0,500.0,500.0,M,M
Almacen 751,311.0,343.0,500.0,35.0,H,H
Almacen 752,310.0,341.0,500.0,136.0,H,H
Almacen 753,52.0,58.0,500.0,16.0,H,H
Almacen 754,6687.0,7356.0,500.0,1425.0,H,H
Almacen 755,1179.0,1297.0,500.0,184.0,H,H
Almacen 756,1238.0,1362.0,500.0,139.0,H,H
Almacen 757,0.0,0.0,500.0,500.0,M,M
Almacen 758,1.0,0.0,500.0,500.0,M,V
Almacen 759,2061.0,2268.0,500.0,380.0,H,H
Almacen 760,386.0,425.0,500.0,80.0,H,H
Almacen 761,555.0,611.0,500.0,61.0,H,H
Almacen 762,2079.0,2287.0,500.0,464.0,H,H
Almacen 763,141.0,0.0,500.0,500.0,M,V
Almacen 764,0.0,892.0,599.0,500.0,H,M
Almacen 765,2144.0,0.0,500.0,500.0,M,V
Almacen 766,2340.0,2222.0,219.0,293.0,V,V
Almacen 767,66.0,0.0,500.0,500.0,M,V
Almacen 768,1.0,558.0,87.0,135.0,H,V
Almacen 769,1.0,0.0,500.0,500.0,M,V
Almacen 770,959.0,0.0,500.0,500.0,M,V
Almacen 771,986.0,2222.0,181.0,273.0,V,V
Almacen 772,765.0,0.0,500.0,500.0,M,V
Almacen 773,619.0,2222.0,117.0,232.0,V,V
Almacen 774,27.0,2222.0,146.0,143.0,V,V
Almacen 775,0.0,2.0,1.0,500.0,H,M
Almacen 776,7.0,0.0,500.0,500.0,M,V
Almacen 777,292.0,2222.0,434.0,1050.0,V,V
Almacen 778,0.0,18.0,16.0,500.0,H,M
Almacen 779,1.0,14.0,11.0,4.0,H,H
Almacen 780,1.0,0.0,500.0,500.0,M,V
Almacen 781,0.0,9117.0,1062.0,186.0,H,M
Almacen 782,887.0,0.0,500.0,500.0,M,V
Almacen 783,850.0,2222.0,142.0,232.0,V,V
Almacen 784,0.0,0.0,500.0,500.0,M,M
Almacen 785,11.0,0.0,500.0,500.0,M,V
Almacen 786,2.0,0.0,500.0,500.0,M,V
Almacen 787,480.0,0.0,500.0,500.0,M,V
Almacen 788,200.0,15000.0,200.0,189.0,V,V
Almacen 789,255.0,15000.0,439.0,480.0,V,V
Almacen 790,0.0,24.0,21.0,500.0,H,M
Almacen 791,835.0,2222.0,1433.0,572.0,V,V
Almacen 792,1784.0,1963.0,500.0,135.0,H,H
Almacen 793,2463.0,8000.0,1898.0,1629.0,V,V
Almacen 794,77.0,3222.0,500.0,153.0,H,V
Almacen 795,87.0,96.0,500.0,9.0,H,H
Almacen 796,1214.0,1336.0,500.0,153.0,H,H
Almacen 797,2.0,3.0,500.0,1.0,H,H
Almacen 798,247.0,2222.0,375.0,171.0,V,V
Almacen 799,4938.0,15274.0,198.0,690.0,H,V
Almacen 800,9357.0,15000.0,2425.0,1606.0,V,V
Almacen 801,34733.0,38207.0,173.0,367.0,H,H
Almacen 802,16.0,2222.0,101.0,113.0,V,V
Almacen 803,4784.0,2222.0,94.0,389.0,V,V
Almacen 804,5377.0,5000.0,500.0,867.0,V,V
Almacen 805,1761.0,1938.0,500.0,20.0,H,H
Almacen 806,1.0,2.0,500.0,1.0,H,H
Almacen 807,19.0,4.0,2.0,500.0,H,V
Almacen 808,773.0,851.0,500.0,72.0,H,H
Almacen 809,5206.0,17059.0,500.0,170.0,H,V
Almacen 810,1.0,2.0,500.0,1.0,H,H
Almacen 811,-272.0,7371.0,588.0,583.0,H,V
Almacen 812,2.0,3.0,500.0,1.0,H,H
Almacen 813,2.0,3.0,500.0,2.0,H,H
Almacen 814,156.0,0.0,500.0,500.0,M,V
Almacen 815,407.0,1359.0,500.0,28.0,H,V
Almacen 816,1.0,0.0,500.0,500.0,M,V
Almacen 817,23.0,0.0,500.0,500.0,M,V
Almacen 818,211.0,233.0,500.0,161.0,H,H
Almacen 819,898.0,6158.0,500.0,185.0,H,V
Almacen 820,1.0,2.0,500.0,1.0,H,H
Almacen 821,0.0,0.0,500.0,500.0,M,M
Almacen 822,467.0,514.0,500.0,89.0,H,H
Almacen 823,5.0,6.0,500.0,1.0,H,H
Almacen 824,1.0,2.0,500.0,1.0,H,H
Almacen 825,4322.0,6500.0,4260.0,207.0,V,V
Almacen 826,0.0,0.0,500.0,500.0,M,M
Almacen 827,0.0,0.0,500.0,500.0,M,M
Almacen 828,4788.0,4457.0,3394.0,500.0,V,V
Almacen 829,432.0,2222.0,500.0,171.0,V,V
Almacen 830,88.0,97.0,500.0,10.0,H,H
Almacen 831,1201.0,1322.0,500.0,40.0,H,H
Almacen 832,1.0,2.0,500.0,1.0,H,H
Almacen 833,1.0,2.0,500.0,1.0,H,H
Almacen 834,171.0,189.0,500.0,14.0,H,H
Almacen 835,101.0,112.0,500.0,7.0,H,H
Almacen 836,26.0,29.0,500.0,6.0,H,H
Almacen 837,58.0,64.0,500.0,38.0,H,H
Almacen 838,64.0,71.0,500.0,11.0,H,H
Almacen 839,60.0,66.0,500.0,16.0,H,H
Almacen 840,835.0,919.0,500.0,236.0,H,H
Almacen 841,538.0,592.0,500.0,66.0,H,H
Almacen 842,1109.0,1220.0,500.0,146.0,H,H
Almacen 843,317.0,349.0,500.0,13.0,H,H
Almacen 844,274.0,302.0,500.0,11.0,H,H
Almacen 845,357.0,393.0,500.0,17.0,H,H
Almacen 846,196.0,216.0,500.0,8.0,H,H
Almacen 847,139.0,153.0,500.0,10.0,H,H
Almacen 848,497.0,547.0,500.0,28.0,H,H
Almacen 849,106.0,117.0,500.0,6.0,H,H
Almacen 850,393.0,433.0,500.0,14.0,H,H
Almacen 851,277.0,305.0,500.0,20.0,H,H
Almacen 852,95.0,105.0,500.0,9.0,H,H
Almacen 853,245.0,270.0,500.0,14.0,H,H
Almacen 854,314.0,346.0,500.0,19.0,H,H
Almacen 855,491.0,541.0,500.0,20.0,H,H
Almacen 856,206.0,227.0,500.0,9.0,H,H
Almacen 857,44.0,49.0,500.0,3.0,H,H
Almacen 858,113.0,125.0,500.0,6.0,H,H
Almacen 859,44.0,49.0,500.0,6.0,H,H
Almacen 860,435.0,479.0,500.0,72.0,H,H
Almacen 861,526.0,579.0,500.0,30.0,H,H
Almacen 862,122.0,135.0,500.0,8.0,H,H
Almacen 863,829.0,912.0,500.0,65.0,H,H
Almacen 864,184.0,203.0,500.0,9.0,H,H
Almacen 865,399.0,439.0,500.0,62.0,H,H
Almacen 866,679.0,747.0,500.0,20.0,H,H
Almacen 867,857.0,943.0,500.0,30.0,H,H
Almacen 868,455.0,501.0,500.0,35.0,H,H
Almacen 869,365.0,402.0,500.0,20.0,H,H
Almacen 870,442.0,487.0,500.0,18.0,H,H
Almacen 871,252.0,278.0,500.0,12.0,H,H
Almacen 872,197.0,217.0,500.0,15.0,H,H
Almacen 873,287.0,316.0,500.0,14.0,H,H
Almacen 874,11.0,13.0,500.0,4.0,H,H
Almacen 875,687.0,756.0,500.0,40.0,H,H
Almacen 876,602.0,663.0,500.0,120.0,H,H
Almacen 877,34.0,38.0,500.0,4.0,H,H
Almacen 878,217.0,239.0,500.0,13.0,H,H
Almacen 879,209.0,230.0,500.0,12.0,H,H
Almacen 880,405.0,446.0,500.0,12.0,H,H
Almacen 881,290.0,319.0,500.0,16.0,H,H
Almacen 882,162.0,179.0,500.0,8.0,H,H
Almacen 883,442.0,487.0,500.0,14.0,H,H
Almacen 884,205.0,226.0,500.0,10.0,H,H
Almacen 885,293.0,323.0,500.0,13.0,H,H
Almacen 886,772.0,850.0,500.0,40.0,H,H
Almacen 887,45.0,50.0,500.0,6.0,H,H
Almacen 888,38.0,42.0,500.0,8.0,H,H
Almacen 889,259.0,285.0,500.0,14.0,H,H
Almacen 890,326.0,359.0,500.0,13.0,H,H
Almacen 891,172.0,190.0,500.0,13.0,H,H
Almacen 892,244.0,269.0,500.0,11.0,H,H
Almacen 893,621.0,684.0,500.0,18.0,H,H
Almacen 894,112.0,124.0,500.0,8.0,H,H
Almacen 895,235.0,259.0,500.0,11.0,H,H
Almacen 896,421.0,464.0,500.0,37.0,H,H
Almacen 897,178.0,196.0,500.0,9.0,H,H
Almacen 898,418.0,460.0,500.0,22.0,H,H
Almacen 899,45.0,50.0,500.0,4.0,H,H
Almacen 900,235.0,259.0,500.0,15.0,H,H
Almacen 901,197.0,217.0,500.0,10.0,H,H
Almacen 902,195.0,215.0,500.0,10.0,H,H
Almacen 903,158.0,174.0,500.0,19.0,H,H
Almacen 904,207.0,228.0,500.0,8.0,H,H
Almacen 905,299.0,329.0,500.0,18.0,H,H
Almacen 906,65.0,72.0,500.0,8.0,H,H
Almacen 907,117.0,129.0,500.0,7.0,H,H
Almacen 908,290.0,319.0,500.0,11.0,H,H
Almacen 909,101.0,112.0,500.0,7.0,H,H
Almacen 910,47.0,52.0,500.0,4.0,H,H
Almacen 911,54.0,60.0,500.0,6.0,H,H
Almacen 912,126.0,139.0,500.0,8.0,H,H
Almacen 913,71.0,79.0,500.0,7.0,H,H
Almacen 914,211.0,233.0,500.0,28.0,H,H
Almacen 915,116.0,128.0,500.0,7.0,H,H
Almacen 916,152.0,168.0,500.0,17.0,H,H
Almacen 917,95.0,105.0,500.0,8.0,H,H
Almacen 918,81.0,90.0,500.0,10.0,H,H
Almacen 919,328.0,361.0,500.0,13.0,H,H
Almacen 920,136.0,150.0,500.0,11.0,H,H
Almacen 921,2.0,3.0,500.0,2.0,H,H
Almacen 922,151.0,167.0,500.0,12.0,H,H
Almacen 923,212.0,234.0,500.0,14.0,H,H
Almacen 924,1.0,2.0,500.0,1.0,H,H
Almacen 925,76.0,84.0,500.0,8.0,H,H
Almacen 926,83.0,92.0,500.0,7.0,H,H
Almacen 927,77.0,85.0,500.0,5.0,H,H
Almacen 928,35.0,39.0,500.0,4.0,H,H
Almacen 929,183.0,202.0,500.0,13.0,H,H
Almacen 930,221.0,244.0,500.0,14.0,H,H
Almacen 931,79.0,87.0,500.0,6.0,H,H
Almacen 932,497.0,547.0,500.0,22.0,H,H
Almacen 933,307.0,338.0,500.0,13.0,H,H
Almacen 934,375.0,413.0,500.0,15.0,H,H
Almacen 935,75.0,83.0,500.0,8.0,H,H
Almacen 936,248.0,273.0,500.0,16.0,H,H
Almacen 937,391.0,431.0,500.0,29.0,H,H
Almacen 938,105.0,116.0,500.0,7.0,H,H
Almacen 939,297.0,327.0,500.0,14.0,H,H
Almacen 940,119.0,131.0,500.0,8.0,H,H
Almacen 941,499.0,549.0,500.0,22.0,H,H
Almacen 942,664.0,731.0,500.0,43.0,H,H
Almacen 943,611.0,673.0,500.0,22.0,H,H
Almacen 944,290.0,319.0,500.0,11.0,H,H
Almacen 945,194.0,214.0,500.0,9.0,H,H
Almacen 946,282.0,311.0,500.0,22.0,H,H
Almacen 947,40.0,44.0,500.0,6.0,H,H
Almacen 948,245.0,270.0,500.0,19.0,H,H
Almacen 949,36.0,40.0,500.0,5.0,H,H
Almacen 950,44.0,49.0,500.0,5.0,H,H
Almacen 951,1.0,2.0,500.0,1.0,H,H
Almacen 952,10.0,11.0,500.0,2.0,H,H
Almacen 953,203.0,224.0,500.0,113.0,H,H
Almacen 954,59.0,65.0,500.0,20.0,H,H
Almacen 955,95.0,105.0,500.0,26.0,H,H
Almacen 956,1.0,2.0,500.0,1.0,H,H
Almacen 957,163.0,180.0,500.0,10.0,H,H
Almacen 958,55.0,61.0,500.0,4.0,H,H
Almacen 959,170.0,188.0,500.0,12.0,H,H
Almacen 960,137.0,151.0,500.0,9.0,H,H
Almacen 961,310.0,341.0,500.0,15.0,H,H
Almacen 962,226.0,249.0,500.0,17.0,H,H
Almacen 963,102.0,113.0,500.0,9.0,H,H
Almacen 964,338.0,372.0,500.0,16.0,H,H
Almacen 965,111.0,123.0,500.0,8.0,H,H
Almacen 966,37.0,41.0,500.0,3.0,H,H
Almacen 967,67.0,74.0,500.0,22.0,H,H
Almacen 968,278.0,306.0,500.0,24.0,H,H
Almacen 969,90.0,100.0,500.0,5.0,H,H
Almacen 970,454.0,500.0,500.0,28.0,H,H
Almacen 971,86.0,95.0,500.0,4.0,H,H
Almacen 972,176.0,194.0,500.0,12.0,H,H
Almacen 973,232.0,256.0,500.0,10.0,H,H
Almacen 974,431.0,475.0,500.0,17.0,H,H
Almacen 975,68.0,75.0,500.0,8.0,H,H
Almacen 976,100.0,111.0,500.0,13.0,H,H
Almacen 977,154.0,170.0,500.0,10.0,H,H
Almacen 978,70.0,77.0,500.0,5.0,H,H
Almacen 979,183.0,202.0,500.0,10.0,H,H
Almacen 980,421.0,464.0,500.0,28.0,H,H
Almacen 981,90.0,100.0,500.0,15.0,H,H
Almacen 982,20.0,22.0,500.0,4.0,H,H
Almacen 983,27.0,30.0,500.0,4.0,H,H
Almacen 984,58.0,64.0,500.0,5.0,H,H
Almacen 985,121.0,134.0,500.0,4.0,H,H
Almacen 986,83.0,92.0,500.0,8.0,H,H
Almacen 987,41.0,46.0,500.0,5.0,H,H
Almacen 988,146.0,161.0,500.0,9.0,H,H
Almacen 989,77.0,85.0,500.0,5.0,H,H
Almacen 990,71.0,79.0,500.0,5.0,H,H
Almacen 991,152.0,168.0,500.0,8.0,H,H
Almacen 992,47.0,52.0,500.0,4.0,H,H
Almacen 993,110.0,122.0,500.0,16.0,H,H
Almacen 994,80.0,88.0,500.0,7.0,H,H
Almacen 995,62.0,69.0,500.0,6.0,H,H
Almacen 996,91.0,101.0,500.0,6.0,H,H
Almacen 997,95.0,105.0,500.0,7.0,H,H
Almacen 998,152.0,168.0,500.0,20.0,H,H
Almacen 999,39.0,43.0,500.0,12.0,H,H
Almacen 1000,39.0,43.0,500.0,13.0,H,H
Almacen 1001,23.0,26.0,500.0,4.0,H,H
Almacen 1002,94.0,104.0,500.0,7.0,H,H
Almacen 1003,90.0,100.0,500.0,7.0,H,H
Almacen 1004,47.0,52.0,500.0,3.0,H,H
Almacen 1005,112.0,124.0,500.0,8.0,H,H
Almacen 1006,93.0,103.0,500.0,10.0,H,H
Almacen 1007,94.0,104.0,500.0,16.0,H,H
