CODE_Origin,CODE_Destination,Dates,Transport_Mode,Distributor,Volume
Almacen 1037,Almacen 642,2024-03-19,-,No Data,739.0
Almacen 1037,Almacen 642,2024-03-20,-,No Data,956.0
Almacen 1037,Almacen 642,2024-03-21,-,No Data,430.0
Almacen 1037,Almacen 642,2024-03-22,-,No Data,337.0
Almacen 1037,Almacen 642,2024-03-23,-,No Data,222.0
Almacen 1037,Almacen 642,2024-03-24,-,No Data,178.0
Almacen 1037,Almacen 642,2024-03-25,-,No Data,17.0
Almacen 1037,Almacen 642,2024-03-26,-,No Data,8.0
Almacen 1037,Almacen 642,2024-03-27,-,No Data,143.0
Almacen 1037,Almacen 642,2024-03-28,-,No Data,113.0
Almacen 1037,Almacen 642,2024-03-29,-,No Data,119.0
Almacen 1037,Almacen 642,2024-03-30,-,No Data,13.0
Almacen 1037,Almacen 642,2024-03-31,-,No Data,1.0
Almacen 1037,Almacen 642,2024-04-02,-,No Data,10.0
Almacen 1037,Almacen 642,2024-04-03,-,No Data,16.0
Almacen 1037,Almacen 642,2024-04-04,-,No Data,4.0
Almacen 1037,Almacen 642,2024-04-10,-,No Data,184.0
Almacen 1037,Almacen 642,2024-04-11,-,No Data,158.0
Almacen 1037,Almacen 642,2024-04-12,-,No Data,150.0
Almacen 1037,Almacen 642,2024-04-13,-,No Data,135.0
Almacen 1037,Almacen 642,2024-04-14,-,No Data,112.0
Almacen 1037,Almacen 642,2024-04-16,-,No Data,3.0
Almacen 1037,Almacen 642,2024-04-17,-,No Data,136.0
Almacen 1037,Almacen 642,2024-04-18,-,No Data,114.0
Almacen 1037,Almacen 642,2024-04-19,-,No Data,133.0
Almacen 1037,Almacen 642,2024-04-20,-,No Data,68.0
Almacen 1037,Almacen 642,2024-04-21,-,No Data,74.0
Almacen 1037,Almacen 642,2024-04-23,-,No Data,2.0
Almacen 1037,Almacen 642,2024-04-24,-,No Data,68.0
Almacen 1037,Almacen 642,2024-04-25,-,No Data,89.0
Almacen 1037,Almacen 642,2024-04-26,-,No Data,93.0
Almacen 1037,Almacen 642,2024-04-27,-,No Data,65.0
Almacen 1099,Almacen 642,2024-03-21,-,No Data,4.0
Almacen 1099,Almacen 642,2024-03-22,-,No Data,13.0
Almacen 1099,Almacen 642,2024-03-23,-,No Data,131.0
Almacen 1099,Almacen 642,2024-03-24,-,No Data,66.0
Almacen 1099,Almacen 642,2024-03-25,-,No Data,38.0
Almacen 1099,Almacen 642,2024-03-26,-,No Data,61.0
Almacen 1099,Almacen 642,2024-03-27,-,No Data,10.0
Almacen 1099,Almacen 642,2024-03-28,-,No Data,10.0
Almacen 1099,Almacen 642,2024-03-29,-,No Data,52.0
Almacen 1099,Almacen 642,2024-03-30,-,No Data,54.0
Almacen 1099,Almacen 642,2024-03-31,-,No Data,42.0
Almacen 1099,Almacen 642,2024-04-01,-,No Data,45.0
Almacen 1099,Almacen 642,2024-04-02,-,No Data,52.0
Almacen 1099,Almacen 642,2024-04-03,-,No Data,6.0
Almacen 1099,Almacen 642,2024-04-04,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-05,-,No Data,45.0
Almacen 1099,Almacen 642,2024-04-06,-,No Data,33.0
Almacen 1099,Almacen 642,2024-04-07,-,No Data,52.0
Almacen 1099,Almacen 642,2024-04-08,-,No Data,45.0
Almacen 1099,Almacen 642,2024-04-09,-,No Data,57.0
Almacen 1099,Almacen 642,2024-04-11,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-12,-,No Data,48.0
Almacen 1099,Almacen 642,2024-04-13,-,No Data,66.0
Almacen 1099,Almacen 642,2024-04-14,-,No Data,62.0
Almacen 1099,Almacen 642,2024-04-15,-,No Data,28.0
Almacen 1099,Almacen 642,2024-04-16,-,No Data,25.0
Almacen 1099,Almacen 642,2024-04-17,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-19,-,No Data,20.0
Almacen 1099,Almacen 642,2024-04-20,-,No Data,3.0
Almacen 1099,Almacen 642,2024-04-21,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-22,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-23,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-25,-,No Data,1.0
Almacen 1099,Almacen 642,2024-04-26,-,No Data,2.0
Almacen 1099,Almacen 642,2024-04-27,-,No Data,3.0
Almacen 1099,Almacen 642,2024-04-28,-,No Data,4.0
Almacen 1099,Almacen 642,2024-04-30,-,No Data,1.0
Almacen 1135,Almacen 622,2024-03-21,Tren,Distribuidor 13,82.0
Almacen 1135,Almacen 622,2024-03-22,Tren,Distribuidor 13,121.0
Almacen 1135,Almacen 622,2024-03-23,Tren,Distribuidor 13,61.0
Almacen 1135,Almacen 622,2024-03-24,Tren,Distribuidor 13,43.0
Almacen 1135,Almacen 622,2024-03-25,Tren,Distribuidor 13,4.0
Almacen 1135,Almacen 622,2024-03-26,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 622,2024-03-27,Tren,Distribuidor 13,3.0
Almacen 1135,Almacen 622,2024-03-28,Tren,Distribuidor 13,12.0
Almacen 1135,Almacen 622,2024-03-30,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-03,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-04,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 622,2024-04-19,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-20,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-21,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-24,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-25,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 622,2024-04-26,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 622,2024-04-27,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 622,2024-04-28,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 625,2024-03-21,Camion,Distribuidor 66,7.0
Almacen 1135,Almacen 625,2024-03-22,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-03-23,Camion,Distribuidor 66,1.0
Almacen 1135,Almacen 625,2024-03-25,Camion,Distribuidor 66,1.0
Almacen 1135,Almacen 625,2024-03-27,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-03-28,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-03-30,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-04-04,Camion,Distribuidor 66,5.0
Almacen 1135,Almacen 625,2024-04-05,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-04-17,Camion,Distribuidor 66,4.0
Almacen 1135,Almacen 625,2024-04-19,Camion,Distribuidor 66,2.0
Almacen 1135,Almacen 625,2024-04-20,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-04-24,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 625,2024-04-25,Camion,Distribuidor 66,2.0
Almacen 1135,Almacen 626,2024-03-21,-,No Data,3.0
Almacen 1135,Almacen 626,2024-03-22,-,No Data,1.0
Almacen 1135,Almacen 626,2024-03-23,-,No Data,1.0
Almacen 1135,Almacen 626,2024-03-24,-,No Data,1.0
Almacen 1135,Almacen 626,2024-03-25,-,No Data,1.0
Almacen 1135,Almacen 626,2024-03-28,-,No Data,1.0
Almacen 1135,Almacen 626,2024-03-30,-,No Data,2.0
Almacen 1135,Almacen 626,2024-04-04,-,No Data,1.0
Almacen 1135,Almacen 626,2024-04-17,-,No Data,1.0
Almacen 1135,Almacen 626,2024-04-20,-,No Data,1.0
Almacen 1135,Almacen 626,2024-04-24,-,No Data,1.0
Almacen 1135,Almacen 628,2024-03-20,Camion,Distribuidor 66,1.0
Almacen 1135,Almacen 628,2024-03-21,Camion,Distribuidor 66,51.0
Almacen 1135,Almacen 628,2024-03-22,Camion,Distribuidor 66,11.0
Almacen 1135,Almacen 628,2024-03-23,Camion,Distribuidor 66,14.0
Almacen 1135,Almacen 628,2024-03-24,Camion,Distribuidor 66,14.0
Almacen 1135,Almacen 628,2024-03-25,Camion,Distribuidor 66,7.0
Almacen 1135,Almacen 628,2024-03-27,Camion,Distribuidor 66,8.0
Almacen 1135,Almacen 628,2024-03-28,Camion,Distribuidor 66,5.0
Almacen 1135,Almacen 628,2024-03-29,Camion,Distribuidor 66,8.0
Almacen 1135,Almacen 628,2024-03-30,Camion,Distribuidor 66,20.0
Almacen 1135,Almacen 628,2024-04-04,Camion,Distribuidor 66,12.0
Almacen 1135,Almacen 628,2024-04-05,Camion,Distribuidor 66,19.0
Almacen 1135,Almacen 628,2024-04-17,Camion,Distribuidor 66,16.0
Almacen 1135,Almacen 628,2024-04-18,Camion,Distribuidor 66,9.0
Almacen 1135,Almacen 628,2024-04-19,Camion,Distribuidor 66,3.0
Almacen 1135,Almacen 628,2024-04-20,Camion,Distribuidor 66,6.0
Almacen 1135,Almacen 628,2024-04-21,Camion,Distribuidor 66,7.0
Almacen 1135,Almacen 628,2024-04-24,Camion,Distribuidor 66,4.0
Almacen 1135,Almacen 628,2024-04-25,Camion,Distribuidor 66,2.0
Almacen 1135,Almacen 642,2024-03-21,Tren,Distribuidor 13,296.0
Almacen 1135,Almacen 642,2024-03-22,Tren,Distribuidor 13,237.0
Almacen 1135,Almacen 642,2024-03-23,Tren,Distribuidor 13,246.0
Almacen 1135,Almacen 642,2024-03-24,Tren,Distribuidor 13,278.0
Almacen 1135,Almacen 642,2024-03-25,Tren,Distribuidor 13,98.0
Almacen 1135,Almacen 642,2024-03-27,Tren,Distribuidor 13,267.0
Almacen 1135,Almacen 642,2024-03-28,Tren,Distribuidor 13,202.0
Almacen 1135,Almacen 642,2024-03-29,Tren,Distribuidor 13,123.0
Almacen 1135,Almacen 642,2024-03-30,Tren,Distribuidor 13,159.0
Almacen 1135,Almacen 642,2024-03-31,Tren,Distribuidor 13,6.0
Almacen 1135,Almacen 642,2024-04-01,Tren,Distribuidor 13,6.0
Almacen 1135,Almacen 642,2024-04-02,Tren,Distribuidor 13,6.0
Almacen 1135,Almacen 642,2024-04-04,Tren,Distribuidor 13,99.0
Almacen 1135,Almacen 642,2024-04-05,Tren,Distribuidor 13,267.0
Almacen 1135,Almacen 642,2024-04-07,Tren,Distribuidor 13,5.0
Almacen 1135,Almacen 642,2024-04-08,Tren,Distribuidor 13,10.0
Almacen 1135,Almacen 642,2024-04-17,Tren,Distribuidor 13,251.0
Almacen 1135,Almacen 642,2024-04-18,Tren,Distribuidor 13,114.0
Almacen 1135,Almacen 642,2024-04-19,Tren,Distribuidor 13,99.0
Almacen 1135,Almacen 642,2024-04-20,Tren,Distribuidor 13,108.0
Almacen 1135,Almacen 642,2024-04-21,Tren,Distribuidor 13,108.0
Almacen 1135,Almacen 642,2024-04-22,Tren,Distribuidor 13,4.0
Almacen 1135,Almacen 642,2024-04-23,Tren,Distribuidor 13,4.0
Almacen 1135,Almacen 642,2024-04-24,Tren,Distribuidor 13,107.0
Almacen 1135,Almacen 642,2024-04-25,Tren,Distribuidor 13,55.0
Almacen 1135,Almacen 642,2024-04-27,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 643,2024-03-21,Tren,Distribuidor 13,53.0
Almacen 1135,Almacen 643,2024-03-22,Tren,Distribuidor 13,23.0
Almacen 1135,Almacen 643,2024-03-23,Tren,Distribuidor 13,25.0
Almacen 1135,Almacen 643,2024-03-24,Tren,Distribuidor 13,32.0
Almacen 1135,Almacen 643,2024-03-25,Tren,Distribuidor 13,16.0
Almacen 1135,Almacen 643,2024-03-27,Tren,Distribuidor 13,46.0
Almacen 1135,Almacen 643,2024-03-28,Tren,Distribuidor 13,49.0
Almacen 1135,Almacen 643,2024-03-29,Tren,Distribuidor 13,46.0
Almacen 1135,Almacen 643,2024-03-30,Tren,Distribuidor 13,44.0
Almacen 1135,Almacen 643,2024-04-04,Tren,Distribuidor 13,52.0
Almacen 1135,Almacen 643,2024-04-05,Tren,Distribuidor 13,37.0
Almacen 1135,Almacen 643,2024-04-17,Tren,Distribuidor 13,39.0
Almacen 1135,Almacen 643,2024-04-18,Tren,Distribuidor 13,23.0
Almacen 1135,Almacen 643,2024-04-19,Tren,Distribuidor 13,25.0
Almacen 1135,Almacen 643,2024-04-20,Tren,Distribuidor 13,23.0
Almacen 1135,Almacen 643,2024-04-21,Tren,Distribuidor 13,25.0
Almacen 1135,Almacen 643,2024-04-24,Tren,Distribuidor 13,18.0
Almacen 1135,Almacen 643,2024-04-25,Tren,Distribuidor 13,5.0
Almacen 1135,Almacen 643,2024-04-28,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 647,2024-03-21,Camion,Distribuidor 69,21.0
Almacen 1135,Almacen 647,2024-03-22,Camion,Distribuidor 69,8.0
Almacen 1135,Almacen 647,2024-03-23,Camion,Distribuidor 69,11.0
Almacen 1135,Almacen 647,2024-03-24,Camion,Distribuidor 69,15.0
Almacen 1135,Almacen 647,2024-03-25,Camion,Distribuidor 69,2.0
Almacen 1135,Almacen 647,2024-03-27,Camion,Distribuidor 69,7.0
Almacen 1135,Almacen 647,2024-03-28,Camion,Distribuidor 69,7.0
Almacen 1135,Almacen 647,2024-03-29,Camion,Distribuidor 69,10.0
Almacen 1135,Almacen 647,2024-03-30,Camion,Distribuidor 69,16.0
Almacen 1135,Almacen 647,2024-04-04,Camion,Distribuidor 69,14.0
Almacen 1135,Almacen 647,2024-04-05,Camion,Distribuidor 69,11.0
Almacen 1135,Almacen 647,2024-04-17,Camion,Distribuidor 69,18.0
Almacen 1135,Almacen 647,2024-04-18,Camion,Distribuidor 69,12.0
Almacen 1135,Almacen 647,2024-04-19,Camion,Distribuidor 69,10.0
Almacen 1135,Almacen 647,2024-04-20,Camion,Distribuidor 69,4.0
Almacen 1135,Almacen 647,2024-04-21,Camion,Distribuidor 69,10.0
Almacen 1135,Almacen 647,2024-04-24,Camion,Distribuidor 69,8.0
Almacen 1135,Almacen 647,2024-04-25,Camion,Distribuidor 69,4.0
Almacen 1135,Almacen 649,2024-03-21,Camion,Distribuidor 82,5.0
Almacen 1135,Almacen 649,2024-03-22,Camion,Distribuidor 82,3.0
Almacen 1135,Almacen 649,2024-03-24,Camion,Distribuidor 82,2.0
Almacen 1135,Almacen 649,2024-03-25,Camion,Distribuidor 82,1.0
Almacen 1135,Almacen 649,2024-03-27,Camion,Distribuidor 82,1.0
Almacen 1135,Almacen 649,2024-03-28,Camion,Distribuidor 82,1.0
Almacen 1135,Almacen 649,2024-03-29,Camion,Distribuidor 82,3.0
Almacen 1135,Almacen 649,2024-03-30,Camion,Distribuidor 82,2.0
Almacen 1135,Almacen 649,2024-04-04,Camion,Distribuidor 82,1.0
Almacen 1135,Almacen 649,2024-04-05,Camion,Distribuidor 82,4.0
Almacen 1135,Almacen 649,2024-04-17,Camion,Distribuidor 82,3.0
Almacen 1135,Almacen 649,2024-04-18,Camion,Distribuidor 82,1.0
Almacen 1135,Almacen 649,2024-04-19,Camion,Distribuidor 82,1.0
Almacen 1135,Almacen 649,2024-04-20,Camion,Distribuidor 82,3.0
Almacen 1135,Almacen 649,2024-04-24,Camion,Distribuidor 82,2.0
Almacen 1135,Almacen 649,2024-04-25,Camion,Distribuidor 82,2.0
Almacen 1135,Almacen 653,2024-03-21,-,No Data,8.0
Almacen 1135,Almacen 653,2024-03-22,-,No Data,1.0
Almacen 1135,Almacen 653,2024-03-23,-,No Data,3.0
Almacen 1135,Almacen 653,2024-03-24,-,No Data,7.0
Almacen 1135,Almacen 653,2024-03-25,-,No Data,3.0
Almacen 1135,Almacen 653,2024-03-27,-,No Data,2.0
Almacen 1135,Almacen 653,2024-03-29,-,No Data,3.0
Almacen 1135,Almacen 653,2024-03-29,Camion,Distribuidor 74,2.0
Almacen 1135,Almacen 653,2024-03-30,-,No Data,12.0
Almacen 1135,Almacen 653,2024-03-30,Camion,Distribuidor 74,2.0
Almacen 1135,Almacen 653,2024-04-04,-,No Data,9.0
Almacen 1135,Almacen 653,2024-04-04,Camion,Distribuidor 74,3.0
Almacen 1135,Almacen 653,2024-04-05,-,No Data,7.0
Almacen 1135,Almacen 653,2024-04-17,-,No Data,11.0
Almacen 1135,Almacen 653,2024-04-18,-,No Data,3.0
Almacen 1135,Almacen 653,2024-04-18,Camion,Distribuidor 74,1.0
Almacen 1135,Almacen 653,2024-04-19,-,No Data,5.0
Almacen 1135,Almacen 653,2024-04-20,-,No Data,6.0
Almacen 1135,Almacen 653,2024-04-21,-,No Data,6.0
Almacen 1135,Almacen 653,2024-04-24,-,No Data,5.0
Almacen 1135,Almacen 653,2024-04-25,-,No Data,3.0
Almacen 1135,Almacen 663,2024-03-21,Camion,Distribuidor 38,12.0
Almacen 1135,Almacen 663,2024-03-22,Camion,Distribuidor 38,1.0
Almacen 1135,Almacen 663,2024-03-23,Camion,Distribuidor 38,2.0
Almacen 1135,Almacen 663,2024-03-24,Camion,Distribuidor 38,2.0
Almacen 1135,Almacen 663,2024-03-25,Camion,Distribuidor 38,2.0
Almacen 1135,Almacen 663,2024-03-27,Camion,Distribuidor 38,3.0
Almacen 1135,Almacen 663,2024-03-29,Camion,Distribuidor 38,2.0
Almacen 1135,Almacen 663,2024-03-30,Camion,Distribuidor 38,10.0
Almacen 1135,Almacen 663,2024-04-04,Camion,Distribuidor 38,3.0
Almacen 1135,Almacen 663,2024-04-05,Camion,Distribuidor 38,5.0
Almacen 1135,Almacen 663,2024-04-17,Camion,Distribuidor 38,6.0
Almacen 1135,Almacen 663,2024-04-18,Camion,Distribuidor 38,1.0
Almacen 1135,Almacen 663,2024-04-19,Camion,Distribuidor 38,5.0
Almacen 1135,Almacen 663,2024-04-20,Camion,Distribuidor 38,4.0
Almacen 1135,Almacen 663,2024-04-21,Camion,Distribuidor 38,4.0
Almacen 1135,Almacen 663,2024-04-24,Camion,Distribuidor 38,4.0
Almacen 1135,Almacen 663,2024-04-25,Camion,Distribuidor 38,1.0
Almacen 1135,Almacen 664,2024-03-21,Tren,Distribuidor 18,38.0
Almacen 1135,Almacen 664,2024-03-22,Tren,Distribuidor 18,23.0
Almacen 1135,Almacen 664,2024-03-23,Tren,Distribuidor 18,14.0
Almacen 1135,Almacen 664,2024-03-24,Tren,Distribuidor 18,13.0
Almacen 1135,Almacen 664,2024-03-27,Tren,Distribuidor 18,1.0
Almacen 1135,Almacen 664,2024-03-28,Tren,Distribuidor 18,1.0
Almacen 1135,Almacen 664,2024-03-29,Tren,Distribuidor 18,2.0
Almacen 1135,Almacen 664,2024-04-04,Tren,Distribuidor 18,1.0
Almacen 1135,Almacen 669,2024-03-21,Camion,Distribuidor 79,5.0
Almacen 1135,Almacen 669,2024-03-22,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 669,2024-03-23,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 669,2024-03-24,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 669,2024-03-27,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 669,2024-03-28,Camion,Distribuidor 79,4.0
Almacen 1135,Almacen 669,2024-03-29,Camion,Distribuidor 79,2.0
Almacen 1135,Almacen 669,2024-03-30,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 669,2024-04-04,Camion,Distribuidor 79,8.0
Almacen 1135,Almacen 669,2024-04-05,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 669,2024-04-17,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 669,2024-04-19,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 669,2024-04-20,Camion,Distribuidor 79,2.0
Almacen 1135,Almacen 669,2024-04-21,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 669,2024-04-24,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 676,2024-03-21,Camion,Distribuidor 48,12.0
Almacen 1135,Almacen 676,2024-03-21,Camion,Distribuidor 51,30.0
Almacen 1135,Almacen 676,2024-03-22,Camion,Distribuidor 48,8.0
Almacen 1135,Almacen 676,2024-03-22,Camion,Distribuidor 51,21.0
Almacen 1135,Almacen 676,2024-03-23,Camion,Distribuidor 48,8.0
Almacen 1135,Almacen 676,2024-03-23,Camion,Distribuidor 51,19.0
Almacen 1135,Almacen 676,2024-03-24,Camion,Distribuidor 48,7.0
Almacen 1135,Almacen 676,2024-03-24,Camion,Distribuidor 51,17.0
Almacen 1135,Almacen 676,2024-03-25,Camion,Distribuidor 51,1.0
Almacen 1135,Almacen 676,2024-03-27,Camion,Distribuidor 48,4.0
Almacen 1135,Almacen 676,2024-03-27,Camion,Distribuidor 51,10.0
Almacen 1135,Almacen 676,2024-03-28,Camion,Distribuidor 48,4.0
Almacen 1135,Almacen 676,2024-03-28,Camion,Distribuidor 51,11.0
Almacen 1135,Almacen 676,2024-03-29,Camion,Distribuidor 48,4.0
Almacen 1135,Almacen 676,2024-03-29,Camion,Distribuidor 51,9.0
Almacen 1135,Almacen 676,2024-03-30,Camion,Distribuidor 48,3.0
Almacen 1135,Almacen 676,2024-03-30,Camion,Distribuidor 51,8.0
Almacen 1135,Almacen 676,2024-03-31,Camion,Distribuidor 48,1.0
Almacen 1135,Almacen 676,2024-03-31,Camion,Distribuidor 51,2.0
Almacen 1135,Almacen 676,2024-04-03,Camion,Distribuidor 48,1.0
Almacen 1135,Almacen 676,2024-04-03,Camion,Distribuidor 51,2.0
Almacen 1135,Almacen 676,2024-04-04,Camion,Distribuidor 48,5.0
Almacen 1135,Almacen 676,2024-04-04,Camion,Distribuidor 51,13.0
Almacen 1135,Almacen 676,2024-04-05,Camion,Distribuidor 48,5.0
Almacen 1135,Almacen 676,2024-04-05,Camion,Distribuidor 51,13.0
Almacen 1135,Almacen 676,2024-04-12,Camion,Distribuidor 51,1.0
Almacen 1135,Almacen 676,2024-04-17,Camion,Distribuidor 48,6.0
Almacen 1135,Almacen 676,2024-04-17,Camion,Distribuidor 51,13.0
Almacen 1135,Almacen 676,2024-04-18,Camion,Distribuidor 48,5.0
Almacen 1135,Almacen 676,2024-04-18,Camion,Distribuidor 51,12.0
Almacen 1135,Almacen 676,2024-04-19,Camion,Distribuidor 48,6.0
Almacen 1135,Almacen 676,2024-04-19,Camion,Distribuidor 51,16.0
Almacen 1135,Almacen 676,2024-04-20,Camion,Distribuidor 48,4.0
Almacen 1135,Almacen 676,2024-04-20,Camion,Distribuidor 51,10.0
Almacen 1135,Almacen 676,2024-04-21,Camion,Distribuidor 48,7.0
Almacen 1135,Almacen 676,2024-04-21,Camion,Distribuidor 51,16.0
Almacen 1135,Almacen 676,2024-04-24,Camion,Distribuidor 48,4.0
Almacen 1135,Almacen 676,2024-04-24,Camion,Distribuidor 51,11.0
Almacen 1135,Almacen 676,2024-04-25,Camion,Distribuidor 48,2.0
Almacen 1135,Almacen 676,2024-04-25,Camion,Distribuidor 51,5.0
Almacen 1135,Almacen 676,2024-04-26,Camion,Distribuidor 51,1.0
Almacen 1135,Almacen 676,2024-04-27,Camion,Distribuidor 48,1.0
Almacen 1135,Almacen 676,2024-04-27,Camion,Distribuidor 51,1.0
Almacen 1135,Almacen 676,2024-04-28,Camion,Distribuidor 51,1.0
Almacen 1135,Almacen 680,2024-03-20,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 680,2024-03-21,Camion,Distribuidor 79,8.0
Almacen 1135,Almacen 680,2024-03-22,Camion,Distribuidor 79,5.0
Almacen 1135,Almacen 680,2024-03-23,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 680,2024-03-24,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 680,2024-03-25,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 680,2024-03-27,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 680,2024-03-28,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 680,2024-03-29,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 680,2024-03-30,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 680,2024-04-04,Camion,Distribuidor 79,4.0
Almacen 1135,Almacen 680,2024-04-05,Camion,Distribuidor 79,4.0
Almacen 1135,Almacen 680,2024-04-17,Camion,Distribuidor 79,6.0
Almacen 1135,Almacen 680,2024-04-18,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 680,2024-04-19,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 680,2024-04-20,Camion,Distribuidor 79,4.0
Almacen 1135,Almacen 680,2024-04-21,Camion,Distribuidor 79,3.0
Almacen 1135,Almacen 680,2024-04-24,Camion,Distribuidor 79,2.0
Almacen 1135,Almacen 680,2024-04-25,Camion,Distribuidor 79,1.0
Almacen 1135,Almacen 683,2024-03-21,Tren,Distribuidor 13,5.0
Almacen 1135,Almacen 683,2024-03-22,Tren,Distribuidor 13,4.0
Almacen 1135,Almacen 683,2024-03-23,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 683,2024-03-24,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 683,2024-03-25,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 683,2024-03-27,Tren,Distribuidor 13,3.0
Almacen 1135,Almacen 683,2024-03-29,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 683,2024-03-30,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 683,2024-04-04,Tren,Distribuidor 13,2.0
Almacen 1135,Almacen 683,2024-04-05,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 683,2024-04-17,Tren,Distribuidor 13,3.0
Almacen 1135,Almacen 683,2024-04-21,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 683,2024-04-24,Tren,Distribuidor 13,1.0
Almacen 1135,Almacen 685,2024-03-29,-,No Data,1.0
Almacen 1135,Almacen 691,2024-03-21,Camion,Distribuidor 105,7.0
Almacen 1135,Almacen 691,2024-03-22,Camion,Distribuidor 105,5.0
Almacen 1135,Almacen 691,2024-03-23,Camion,Distribuidor 105,3.0
Almacen 1135,Almacen 691,2024-03-24,Camion,Distribuidor 105,2.0
Almacen 1135,Almacen 691,2024-03-27,Camion,Distribuidor 105,4.0
Almacen 1135,Almacen 691,2024-03-28,Camion,Distribuidor 105,2.0
Almacen 1135,Almacen 691,2024-03-29,Camion,Distribuidor 105,4.0
Almacen 1135,Almacen 691,2024-03-30,Camion,Distribuidor 105,3.0
Almacen 1135,Almacen 691,2024-04-04,Camion,Distribuidor 105,7.0
Almacen 1135,Almacen 691,2024-04-05,Camion,Distribuidor 105,3.0
Almacen 1135,Almacen 691,2024-04-17,Camion,Distribuidor 105,3.0
Almacen 1135,Almacen 691,2024-04-18,Camion,Distribuidor 105,1.0
Almacen 1135,Almacen 691,2024-04-19,Camion,Distribuidor 105,2.0
Almacen 1135,Almacen 691,2024-04-20,Camion,Distribuidor 105,1.0
Almacen 1135,Almacen 691,2024-04-21,Camion,Distribuidor 105,3.0
Almacen 1135,Almacen 691,2024-04-24,Camion,Distribuidor 105,2.0
Almacen 1135,Almacen 694,2024-03-21,Camion,Distribuidor 104,14.0
Almacen 1135,Almacen 694,2024-03-22,Camion,Distribuidor 104,4.0
Almacen 1135,Almacen 694,2024-03-23,Camion,Distribuidor 104,3.0
Almacen 1135,Almacen 694,2024-03-24,Camion,Distribuidor 104,6.0
Almacen 1135,Almacen 694,2024-03-25,Camion,Distribuidor 104,2.0
Almacen 1135,Almacen 694,2024-03-27,Camion,Distribuidor 104,3.0
Almacen 1135,Almacen 694,2024-03-28,Camion,Distribuidor 104,4.0
Almacen 1135,Almacen 694,2024-03-29,Camion,Distribuidor 104,4.0
Almacen 1135,Almacen 694,2024-03-30,Camion,Distribuidor 104,10.0
Almacen 1135,Almacen 694,2024-04-04,Camion,Distribuidor 104,9.0
